id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source,n
gemm.openmp.papiezd17r8kx6cenjtg,5,14092662,4569610,574956,426173,113800,748316,747993,6742,31,0,3427848,0,6842376,0,13320,5168145,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092663,6113251,1044304,426796,25962,833638,834899,6656,18,0,3427848,0,6842376,0,13320,5167265,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,5,14092663,6106603,1037875,426788,25019,835308,831315,6646,20,0,3427848,0,6842376,0,13320,5167318,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11658504,3829513,453407,355285,96107,664103,663933,5473,20,0,2834568,0,5658120,0,11016,4274378,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11655795,3772194,461014,352531,94265,646800,646165,5514,16,0,2834568,0,5658120,0,11016,4274257,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11658693,3846463,473413,352598,96408,653761,653167,5498,18,0,2834568,0,5658120,0,11016,4276614,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11657104,3786489,464969,352630,93674,679242,677006,5496,32,0,2834568,0,5658120,0,11016,4274294,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11657013,3794246,446392,352608,95253,664655,665330,5522,24,0,2834568,0,5658120,0,11016,4274261,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11655977,3770199,444379,352584,94802,666709,666406,5495,16,0,2834568,0,5658120,0,11016,4274609,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11657874,3801952,440963,352546,95985,645599,645128,5495,21,0,2834568,0,5658120,0,11016,4274261,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11656446,3804220,459665,352662,96804,673848,672933,5505,20,0,2834568,0,5658120,0,11016,4274552,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11657062,3797259,462895,352604,94366,680800,681448,5476,29,0,2834568,0,5658120,0,11016,4274301,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,6,11657314,3762368,433883,352547,99385,636427,636255,5496,19,0,2834568,0,5658120,0,11016,4274261,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,7,10030057,3287292,400780,303379,81542,585229,585561,4698,48,0,2439048,0,4868616,0,9480,3678544,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,7,10030735,3290532,425897,302454,250320,581507,580113,4751,15,0,2439048,0,4868616,0,9480,3678389,gemm.openmp.c,256
